"player","position","season","Team","GP","TOI","onGF_60","onGA_60","onG_diff_60","onxGF_60","onxGA_60","onxG_diff_60","onSF_60","onSA_60","onS_diff_60","onFF_60","onFA_60","onF_diff_60","onCF_60","onCA_60","onC_diff_60","onSh_perc","onxGA_per_FA"
"BROCK.NELSON","F","20172018","NYI",10,9.38,6.4,0,6.4,5.57,8.06,-2.49,38.38,63.97,-25.59,38.38,83.16,-44.78,44.78,89.55,-44.78,16.67,0.0969
"BROCK.NELSON","F","20182019","NYI",16,20.75,8.67,0,8.67,8.18,3.35,4.83,26.02,28.92,-2.89,28.92,37.59,-8.67,43.37,43.37,0,33.33,0.0892
"BRYAN.LITTLE","F","20162017","WPG",9,9.88,6.07,0,6.07,6.5,2.55,3.95,36.44,18.22,18.22,54.66,24.29,30.36,54.66,30.36,24.29,16.67,0.105
"BRYAN.LITTLE","F","20172018","WPG",16,17.62,6.81,10.22,-3.41,4.94,11,-6.06,40.86,61.29,-20.43,47.67,78.32,-30.65,54.48,91.94,-37.46,16.67,0.1404
"BRYAN.LITTLE","F","20182019","WPG",9,9.37,6.4,0,6.4,9.09,3.84,5.25,70.44,19.21,51.23,83.24,38.42,44.82,96.05,44.82,51.23,9.09,0.1
"BRYAN.RUST","F","20162017","PIT",9,5.63,10.66,0,10.66,6.61,3.09,3.52,53.29,31.97,21.31,63.94,42.63,21.31,74.6,42.63,31.97,20,0.0725
"BRYAN.RUST","F","20182019","PIT",11,8.75,0,6.86,-6.86,3.29,6.38,-3.09,27.43,34.29,-6.86,34.29,48,-13.71,41.14,54.86,-13.71,0,0.1329
"CALLE.JARNKROK","F","20162017","NSH",17,14.8,0,8.11,-8.11,2.92,6.65,-3.73,28.38,28.38,0,32.43,60.81,-28.38,40.54,77.03,-36.49,0,0.1093
"CALLE.JARNKROK","F","20172018","NSH",17,14.85,12.12,4.04,8.08,3.96,8.12,-4.16,40.4,48.48,-8.08,44.44,56.57,-12.12,56.57,60.61,-4.04,30,0.1436
"CALVIN.DE HAAN","D","20162017","NYI",10,7.2,16.67,16.67,0,7.58,8.83,-1.25,58.33,50,8.33,83.33,75,8.33,100,75,25,28.57,0.1178
"CAM.ATKINSON","F","20162017","CBJ",17,14.98,20.03,0,20.03,10.85,6.33,4.53,80.11,44.06,36.05,88.12,52.07,36.05,108.14,72.1,36.05,25,0.1215
"CAM.ATKINSON","F","20172018","CBJ",14,12.37,9.7,4.85,4.85,3.1,6.84,-3.73,43.65,43.65,0,48.5,63.06,-14.55,53.35,63.06,-9.7,22.22,0.1085
"CAM.ATKINSON","F","20182019","CBJ",9,11.23,5.34,5.34,0,4.59,6.73,-2.14,32.06,42.74,-10.69,42.74,48.09,-5.34,42.74,64.11,-21.37,16.67,0.14
"CAM.FOWLER","D","20162017","ANA",16,24.02,2.5,9.99,-7.49,3.45,4.47,-1.02,22.48,27.48,-5,32.47,42.46,-9.99,37.47,52.46,-14.99,11.11,0.1053
"CAM.FOWLER","D","20172018","ANA",17,27.35,0,6.58,-6.58,2.17,5.07,-2.9,19.74,37.29,-17.55,24.13,48.26,-24.13,26.33,59.23,-32.91,0,0.105
"CAM.FOWLER","D","20182019","ANA",5,7.22,16.62,8.31,8.31,5.9,9.22,-3.32,41.55,49.86,-8.31,41.55,66.48,-24.93,58.17,74.79,-16.62,40,0.1388
"CARL.SODERBERG","F","20182019","COL",10,13.73,0,8.74,-8.74,3.58,3.19,0.39,30.59,34.96,-4.37,56.81,43.7,13.11,74.29,48.07,26.22,0,0.073
"CASEY.CIZIKAS","F","20162017","NYI",9,6.1,0,0,0,7.67,6.2,1.48,39.34,29.51,9.84,59.02,39.34,19.67,68.85,49.18,19.67,0,0.1575
"CASEY.CIZIKAS","F","20182019","NYI",10,8.47,7.08,0,7.08,2.69,1.91,0.78,14.17,35.42,-21.25,21.25,42.5,-21.25,42.5,42.5,0,50,0.045
"CASEY.MITTELSTADT","F","20182019","BUF",10,12.53,0,0,0,3.11,8.95,-5.84,38.31,57.46,-19.15,43.1,67.04,-23.94,43.1,67.04,-23.94,0,0.1336
"CHARLIE.COYLE","F","20162017","MIN",10,7.97,15.06,7.53,7.53,3.76,4.52,-0.75,52.7,22.58,30.11,60.23,45.17,15.06,67.75,52.7,15.06,28.57,0.1
"CHARLIE.COYLE","F","20172018","MIN",15,18.62,6.44,3.22,3.22,3.74,1.19,2.55,22.56,19.33,3.22,32.22,25.78,6.44,35.45,38.67,-3.22,28.57,0.0462
"CHARLIE.COYLE","F","20182019","MIN",7,7.38,8.13,8.13,0,7.07,5.61,1.46,56.91,24.39,32.52,73.17,65.04,8.13,105.69,65.04,40.65,14.29,0.0862
"CHARLIE.MCAVOY","D","20172018","BOS",13,18.9,3.17,3.17,0,6.32,3.37,2.95,34.92,38.1,-3.17,38.1,38.1,0,60.32,60.32,0,9.09,0.0883
"CHARLIE.MCAVOY","D","20182019","BOS",13,16.6,7.23,7.23,0,5.02,4.08,0.94,32.53,50.6,-18.07,50.6,50.6,0,54.22,57.83,-3.61,22.22,0.0807
"CHRIS.KREIDER","F","20162017","NYR",9,8.67,6.92,0,6.92,2.77,2.08,0.69,13.84,27.68,-13.84,27.68,27.68,0,41.52,55.36,-13.84,50,0.075
"CHRIS.KREIDER","F","20172018","NYR",9,7.38,8.13,8.13,0,9.92,2.85,7.07,48.78,24.39,24.39,81.3,40.65,40.65,97.56,48.78,48.78,16.67,0.07
"CHRIS.KREIDER","F","20182019","NYR",18,20.25,0,5.93,-5.93,1.42,5.51,-4.09,17.78,41.48,-23.7,23.7,56.3,-32.59,29.63,77.04,-47.41,0,0.0979
"CHRIS.TANEV","D","20162017","VAN",12,10.88,16.54,5.51,11.03,6.07,2.81,3.25,44.12,27.57,16.54,60.66,38.6,22.06,71.69,49.63,22.06,37.5,0.0729
"CHRIS.TANEV","D","20172018","VAN",5,6.85,8.76,0,8.76,2.36,2.72,-0.35,26.28,26.28,0,43.8,26.28,17.52,52.55,26.28,26.28,33.33,0.1033
"CHRIS.TANEV","D","20182019","VAN",11,14.67,12.27,8.18,4.09,4.74,6.22,-1.47,36.81,28.63,8.18,49.08,28.63,20.45,61.35,28.63,32.72,33.33,0.2171
"CHRISTIAN.DVORAK","F","20162017","ARI",12,12.65,0,4.74,-4.74,5.22,7.35,-2.13,28.46,61.66,-33.2,42.69,85.38,-42.69,52.17,99.6,-47.43,0,0.0861
"CHRISTIAN.DVORAK","F","20172018","ARI",16,13.63,4.4,13.21,-8.8,5.11,10.65,-5.55,30.81,57.23,-26.41,52.82,66.03,-13.21,74.83,66.03,8.8,14.29,0.1613
"CHRISTIAN.FISCHER","F","20172018","ARI",12,9.1,19.78,6.59,13.19,9.63,12.66,-3.03,52.75,52.75,0,72.53,72.53,0,92.31,79.12,13.19,37.5,0.1745
"CHRIS.TIERNEY","F","20172018","S.J",12,11.38,0,15.82,-15.82,5.85,5.75,0.11,31.63,31.63,0,47.45,47.45,0,52.72,58,-5.27,0,0.1211
"CLAUDE.GIROUX","F","20162017","PHI",24,33.15,7.24,1.81,5.43,6.99,2.57,4.42,45.25,23.53,21.72,65.16,28.96,36.2,83.26,32.58,50.68,16,0.0888
"CLAUDE.GIROUX","F","20172018","PHI",19,23,2.61,0,2.61,7.77,5.71,2.06,46.96,36.52,10.43,67.83,54.78,13.04,75.65,65.22,10.43,5.56,0.1043
"CLAUDE.GIROUX","F","20182019","PHI",15,17.03,10.57,14.09,-3.52,10.78,7.93,2.85,59.89,49.32,10.57,77.51,56.37,21.14,88.08,70.46,17.62,17.65,0.1406
"CLAYTON.KELLER","F","20172018","ARI",20,25.42,7.08,0,7.08,6.21,3.35,2.86,42.49,28.32,14.16,51.93,40.13,11.8,68.45,59.01,9.44,16.67,0.0835
"CLAYTON.KELLER","F","20182019","ARI",16,20.52,5.85,5.85,0,3.13,5.2,-2.08,14.62,46.78,-32.16,26.32,58.48,-32.16,38.01,67.25,-29.24,40,0.089
"CODY.CECI","D","20162017","OTT",16,24.68,0,4.86,-4.86,1.8,5.74,-3.94,17.02,46.19,-29.17,24.31,63.21,-38.9,31.6,80.23,-48.62,0,0.0908
"CODY.CECI","D","20172018","OTT",12,12.42,0,9.66,-9.66,3.96,3.67,0.29,24.15,19.32,4.83,28.99,57.97,-28.99,33.82,67.63,-33.82,0,0.0633
"CODY.EAKIN","F","20162017","DAL",6,7.92,7.58,0,7.58,3.64,0.53,3.11,15.15,7.58,7.58,37.88,30.3,7.58,45.45,45.45,0,50,0.0175
"CODY.EAKIN","F","20172018","VGK",7,7.25,0,0,0,6.79,4.14,2.65,33.1,41.38,-8.28,41.38,57.93,-16.55,57.93,74.48,-16.55,0,0.0714
"COLIN.MILLER","D","20172018","VGK",13,14.37,0,0,0,8.23,5.93,2.3,62.63,41.75,20.88,75.16,54.28,20.88,100.21,58.46,41.75,0,0.1092
"COLIN.MILLER","D","20182019","VGK",7,7.4,0,0,0,1.62,1.05,0.57,24.32,24.32,0,56.76,24.32,32.43,64.86,32.43,32.43,0,0.0433
"COLIN.WHITE","F","20182019","OTT",5,5.93,0,10.12,-10.12,7.49,4.15,3.34,30.35,20.24,10.12,40.47,50.59,-10.12,40.47,60.71,-20.24,0,0.082
"COLIN.WILSON","F","20162017","NSH",9,6.03,0,19.9,-19.9,5.17,5.27,-0.1,49.75,29.85,19.9,79.6,39.8,39.8,99.5,39.8,59.7,0,0.1325
"COLTON.PARAYKO","D","20162017","STL",10,11.45,5.24,0,5.24,3.46,3.46,0,26.2,31.44,-5.24,36.68,47.16,-10.48,47.16,47.16,0,20,0.0733
"COLTON.PARAYKO","D","20172018","STL",16,20.53,8.77,2.92,5.85,5.47,3.57,1.9,52.61,20.46,32.15,58.45,26.3,32.15,67.22,46.76,20.46,16.67,0.1356
"COLTON.PARAYKO","D","20182019","STL",16,22.12,10.85,5.42,5.42,2.31,2.63,-0.33,27.12,24.41,2.71,37.97,35.26,2.71,46.11,40.69,5.42,40,0.0746
"COLTON.SCEVIOUR","F","20162017","FLA",5,5.55,0,0,0,3.46,5.84,-2.38,43.24,21.62,21.62,54.05,43.24,10.81,86.49,43.24,43.24,0,0.135
"COLTON.SISSONS","F","20172018","NSH",13,10.17,0,5.9,-5.9,3.42,6.61,-3.19,29.5,35.4,-5.9,29.5,64.9,-35.4,35.4,76.7,-41.3,0,0.1018
"CONNOR.BROWN","F","20162017","TOR",13,11.2,5.36,5.36,0,12.11,7.98,4.12,53.57,32.14,21.43,80.36,53.57,26.79,85.71,69.64,16.07,10,0.149
"CONNOR.BROWN","F","20172018","TOR",9,7.07,0,0,0,1.27,6.03,-4.75,25.46,42.43,-16.97,25.46,50.92,-25.46,25.46,67.89,-42.43,0,0.1183
"CONNOR.MCDAVID","F","20162017","EDM",16,30.4,7.89,3.95,3.95,8.13,3.16,4.97,41.45,23.68,17.76,53.29,29.61,23.68,71.05,41.45,29.61,19.05,0.1067
"CONNOR.MCDAVID","F","20172018","EDM",18,36.63,6.55,4.91,1.64,6.29,8.32,-2.03,39.31,45.86,-6.55,45.86,60.61,-14.74,54.05,70.43,-16.38,16.67,0.1373
"CONNOR.MCDAVID","F","20182019","EDM",18,25.07,16.75,11.97,4.79,6.1,6.94,-0.84,45.47,33.51,11.97,62.23,47.87,14.36,71.8,57.44,14.36,36.84,0.145
"CONOR.GARLAND","F","20182019","ARI",7,6.53,0,0,0,2.85,4.87,-2.02,27.57,27.57,0,36.75,36.75,0,45.94,55.13,-9.19,0,0.1325
"CONOR.SHEARY","F","20162017","PIT",11,10.32,5.81,0,5.81,6.98,8.37,-1.4,58.14,52.33,5.81,58.14,69.77,-11.63,63.95,87.21,-23.26,10,0.12
"CONOR.SHEARY","F","20182019","BUF",15,19.38,3.1,0,3.1,5.54,4.18,1.36,40.25,34.06,6.19,49.54,43.34,6.19,61.92,52.63,9.29,7.69,0.0964
"COREY.PERRY","F","20162017","ANA",8,6.43,0,27.99,-27.99,2.05,7.37,-5.32,9.33,74.65,-65.32,9.33,83.98,-74.65,9.33,102.64,-93.31,0,0.0878
"CRAIG.SMITH","F","20162017","NSH",8,6.52,0,0,0,2.76,1.47,1.29,27.61,0,27.61,36.81,18.4,18.4,55.21,18.4,36.81,0,0.08
"CRAIG.SMITH","F","20172018","NSH",17,19.25,0,3.12,-3.12,3.8,4.55,-0.75,37.4,34.29,3.12,49.87,49.87,0,59.22,56.1,3.12,0,0.0912
"CRAIG.SMITH","F","20182019","NSH",7,5.85,0,0,0,7.59,3.9,3.69,51.28,30.77,20.51,82.05,41.03,41.03,82.05,51.28,30.77,0,0.095
"DAMON.SEVERSON","D","20162017","N.J",16,17.8,3.37,10.11,-6.74,2.39,9,-6.61,26.97,57.3,-30.34,37.08,74.16,-37.08,47.19,87.64,-40.45,12.5,0.1214
"DAMON.SEVERSON","D","20182019","N.J",15,23.37,0,5.13,-5.13,2.67,7.16,-4.49,15.4,38.51,-23.11,20.54,48.78,-28.24,28.24,64.18,-35.94,0,0.1468
"DANIEL.SEDIN","F","20162017","VAN",19,20.27,8.88,2.96,5.92,6.45,5.8,0.65,50.32,32.56,17.76,68.08,44.4,23.68,79.92,53.28,26.64,17.65,0.1307
"DANIEL.SEDIN","F","20172018","VAN",9,11.67,0,5.14,-5.14,3.44,3.24,0.21,20.57,25.71,-5.14,41.13,25.71,15.42,61.7,35.99,25.71,0,0.126
"DANNY.DEKEYSER","D","20162017","DET",19,21.6,5.56,11.11,-5.56,4.14,5.06,-0.92,41.67,27.78,13.89,50,38.89,11.11,61.11,50,11.11,13.33,0.13
"DANNY.DEKEYSER","D","20172018","DET",14,14.05,4.27,12.81,-8.54,5.3,10.04,-4.74,29.89,38.43,-8.54,46.98,42.7,4.27,51.25,55.52,-4.27,14.29,0.235
"DANNY.DEKEYSER","D","20182019","DET",15,19.5,12.31,9.23,3.08,4.49,5.69,-1.2,40,40,0,49.23,43.08,6.15,52.31,55.38,-3.08,30.77,0.1321
"DANTON.HEINEN","F","20172018","BOS",6,7.38,0,0,0,4.07,5.53,-1.46,24.39,40.65,-16.26,40.65,40.65,0,48.78,65.04,-16.26,0,0.136
"DARNELL.NURSE","D","20172018","EDM",15,17.13,3.5,7.01,-3.5,5.6,9.6,-3.99,45.53,66.55,-21.02,49.04,84.06,-35.03,52.54,101.58,-49.04,7.69,0.1142
"DARNELL.NURSE","D","20182019","EDM",15,18.83,9.56,6.37,3.19,6.02,4.43,1.59,44.61,31.86,12.75,60.54,50.98,9.56,76.47,57.36,19.12,21.43,0.0869
"DARREN.HELM","F","20162017","DET",8,7,0,8.57,-8.57,1.71,5.74,-4.03,17.14,51.43,-34.29,34.29,68.57,-34.29,51.43,68.57,-17.14,0,0.0838
"DARREN.HELM","F","20172018","DET",8,7.75,0,15.48,-15.48,6.04,8.67,-2.63,30.97,46.45,-15.48,46.45,54.19,-7.74,54.19,69.68,-15.48,0,0.16
"DAVID.KREJCI","F","20162017","BOS",13,14.87,12.1,4.03,8.07,7.59,3.79,3.79,48.42,24.21,24.21,52.45,40.35,12.1,64.56,44.38,20.17,25,0.094
"DAVID.KREJCI","F","20172018","BOS",11,11.55,0,0,0,3.38,2.81,0.57,15.58,31.17,-15.58,20.78,36.36,-15.58,20.78,36.36,-15.58,0,0.0771
"DAVID.KREJCI","F","20182019","BOS",18,18.77,9.59,3.2,6.39,4.28,5.5,-1.21,28.77,38.36,-9.59,44.75,41.56,3.2,51.15,51.15,0,33.33,0.1323
"DAVID.PASTRNAK","F","20162017","BOS",12,13.28,9.04,4.52,4.52,8.49,3.57,4.92,63.25,22.59,40.66,67.77,40.66,27.11,76.81,45.18,31.63,14.29,0.0878
"DAVID.PASTRNAK","F","20172018","BOS",16,22.6,0,10.62,-10.62,2.89,5.23,-2.34,21.24,37.17,-15.93,29.2,55.75,-26.55,47.79,71.68,-23.89,0,0.0938
"DAVID.PASTRNAK","F","20182019","BOS",11,8.72,6.88,6.88,0,3.85,12.45,-8.6,20.64,82.57,-61.93,34.4,82.57,-48.17,34.4,89.45,-55.05,33.33,0.1508
"DAVID.PERRON","F","20162017","STL",9,7.53,7.97,7.97,0,6.77,4.14,2.63,39.84,39.84,0,47.81,63.75,-15.94,55.78,79.68,-23.9,20,0.065
"DAVID.PERRON","F","20172018","VGK",12,15.33,15.66,3.91,11.74,6.18,3.41,2.78,54.79,35.23,19.57,62.62,39.14,23.48,82.19,50.88,31.31,28.57,0.087
"DAVID.PERRON","F","20182019","STL",8,7.47,0,8.03,-8.03,8.43,6.91,1.53,56.22,40.16,16.06,64.26,64.26,0,80.32,72.29,8.03,0,0.1075
"DENIS.MALGIN","F","20162017","FLA",8,7.97,0,7.53,-7.53,3.16,7.38,-4.22,45.17,30.11,15.06,60.23,60.23,0,67.75,67.75,0,0,0.1225
"DENNIS.CHOLOWSKI","D","20182019","DET",12,11.72,5.12,0,5.12,5.12,5.17,-0.05,35.84,30.72,5.12,46.08,61.43,-15.36,56.31,71.67,-15.36,14.29,0.0842
"DEREK.RYAN","F","20172018","CAR",8,6.8,0,26.47,-26.47,0.26,5.47,-5.21,8.82,52.94,-44.12,8.82,61.76,-52.94,17.65,70.59,-52.94,0,0.0886
"DEREK.STEPAN","F","20162017","NYR",13,15.23,3.94,0,3.94,3.43,2.84,0.59,19.7,19.7,0,35.46,35.46,0,47.28,55.15,-7.88,20,0.08
"DEREK.STEPAN","F","20172018","ARI",20,20.28,2.96,8.88,-5.92,5.65,7.16,-1.51,38.46,59.17,-20.71,53.25,71.01,-17.75,65.09,79.88,-14.79,7.69,0.1008
"DEREK.STEPAN","F","20182019","ARI",15,18.55,6.47,3.23,3.23,2.49,7.86,-5.37,25.88,51.75,-25.88,29.11,64.69,-35.58,29.11,71.16,-42.05,25,0.1215
"DERICK.BRASSARD","F","20162017","OTT",15,20.15,0,5.96,-5.96,2.47,7.68,-5.21,29.78,71.46,-41.69,38.71,80.4,-41.69,53.6,86.35,-32.75,0,0.0956
"DERICK.BRASSARD","F","20172018","OTT",11,16.5,3.64,3.64,0,1.75,6.29,-4.55,21.82,43.64,-21.82,25.45,69.09,-43.64,32.73,83.64,-50.91,16.67,0.0911
"DERRICK.POULIOT","D","20182019","VAN",3,5.67,0,0,0,6.56,3.7,2.86,42.33,31.75,10.58,63.49,42.33,21.16,74.07,42.33,31.75,0,0.0875
"DEVIN.SHORE","F","20172018","DAL",8,7.9,0,7.59,-7.59,2.43,4.18,-1.75,22.78,30.38,-7.59,30.38,37.97,-7.59,30.38,45.57,-15.19,0,0.11
"DEVON.TOEWS","D","20182019","NYI",6,7.28,8.24,0,8.24,12.45,3.05,9.4,49.45,16.48,32.97,57.69,32.97,24.73,90.66,32.97,57.69,16.67,0.0925
"DION.PHANEUF","D","20162017","OTT",12,11.8,0,0,0,2.69,4.98,-2.29,25.42,50.85,-25.42,35.59,61.02,-25.42,40.68,71.19,-30.51,0,0.0817
"DMITRY.KULIKOV","D","20162017","BUF",8,8.93,0,0,0,3.43,3.56,-0.13,40.31,33.59,6.72,53.75,47.03,6.72,60.47,47.03,13.44,0,0.0757
"DMITRY.ORLOV","D","20162017","WSH",10,9.83,12.21,0,12.21,6.47,1.77,4.7,42.73,30.52,12.21,61.04,30.52,30.52,73.25,36.62,36.62,28.57,0.058
"DMITRY.ORLOV","D","20172018","WSH",17,16.88,7.11,10.66,-3.55,2.88,3.63,-0.75,21.33,28.44,-7.11,35.55,31.99,3.55,39.1,49.76,-10.66,33.33,0.1133
"DMITRY.ORLOV","D","20182019","WSH",12,18.93,6.34,6.34,0,7.42,6.31,1.11,38.03,53.88,-15.85,60.22,63.39,-3.17,66.56,76.07,-9.51,16.67,0.0995
"DOUGIE.HAMILTON","D","20162017","CGY",7,5.68,10.56,0,10.56,1.58,8.56,-6.97,10.56,73.94,-63.38,10.56,95.07,-84.51,10.56,105.63,-95.07,100,0.09
"DOUGIE.HAMILTON","D","20182019","CAR",8,5.9,10.17,10.17,0,9.05,4.58,4.47,61.02,30.51,30.51,91.53,61.02,30.51,101.69,61.02,40.68,16.67,0.075
"DREW.DOUGHTY","D","20162017","L.A",20,22.55,10.64,5.32,5.32,7.34,4.2,3.14,31.93,29.27,2.66,47.89,37.25,10.64,74.5,39.91,34.59,33.33,0.1129
"DREW.DOUGHTY","D","20172018","L.A",19,28.47,10.54,4.21,6.32,6.41,5.33,1.07,54.79,27.4,27.4,69.55,35.83,33.72,77.98,37.93,40.04,19.23,0.1488
"DREW.DOUGHTY","D","20182019","L.A",16,24.2,2.48,2.48,0,2.9,4.86,-1.96,29.75,37.19,-7.44,39.67,44.63,-4.96,47.11,47.11,0,8.33,0.1089
"DUNCAN.KEITH","D","20162017","CHI",15,18.13,9.93,6.62,3.31,8.57,7.41,1.16,56.26,52.95,3.31,69.5,76.12,-6.62,76.12,86.05,-9.93,17.65,0.0974
"DUNCAN.KEITH","D","20172018","CHI",17,21.5,11.16,5.58,5.58,5.94,5,0.95,44.65,47.44,-2.79,55.81,64.19,-8.37,69.77,66.98,2.79,25,0.0778
"DUNCAN.KEITH","D","20182019","CHI",20,21.18,5.67,8.5,-2.83,4.48,7.73,-3.26,45.33,45.33,0,53.82,62.32,-8.5,65.16,73.65,-8.5,12.5,0.1241
"DUSTIN.BROWN","F","20172018","L.A",17,18.33,16.37,3.27,13.09,3.6,4.91,-1.31,42.55,22.91,19.64,45.83,32.73,13.09,52.37,32.73,19.64,38.46,0.15
"DUSTIN.BROWN","F","20182019","L.A",14,17.23,6.96,3.48,3.48,6.86,7.52,-0.66,31.34,52.23,-20.89,41.79,62.68,-20.89,52.23,69.65,-17.41,22.22,0.12
"DUSTIN.BYFUGLIEN","D","20162017","WPG",14,20.37,8.84,2.95,5.89,7.16,4.21,2.95,44.18,38.29,5.89,58.91,53.02,5.89,64.8,55.96,8.84,20,0.0794
"DUSTIN.BYFUGLIEN","D","20172018","WPG",14,19.68,3.05,12.2,-9.15,5.27,8.41,-3.14,45.73,39.63,6.1,57.93,76.22,-18.29,67.07,79.27,-12.2,6.67,0.1104
"DYLAN.LARKIN","F","20162017","DET",21,19.4,3.09,6.19,-3.09,5.38,7.86,-2.47,37.11,52.58,-15.46,55.67,55.67,0,58.76,61.86,-3.09,8.33,0.1411
"DYLAN.LARKIN","F","20172018","DET",19,17.18,6.98,20.95,-13.97,5.97,8.21,-2.24,45.4,48.89,-3.49,52.39,55.88,-3.49,55.88,62.86,-6.98,15.38,0.1469
"DYLAN.LARKIN","F","20182019","DET",21,31,9.68,1.94,7.74,6.48,5.34,1.14,54.19,36.77,17.42,63.87,42.58,21.29,71.61,44.52,27.1,17.86,0.1255
"DYLAN.STROME","F","20182019","CHI",8,8.22,7.3,14.6,-7.3,5.99,14.6,-8.61,58.39,51.09,7.3,58.39,65.69,-7.3,58.39,72.99,-14.6,12.5,0.2222
"ELIAS.LINDHOLM","F","20162017","CAR",16,17.2,3.49,3.49,0,4.01,4.71,-0.7,45.35,31.4,13.95,48.84,41.86,6.98,52.33,52.33,0,7.69,0.1125
"ELIAS.LINDHOLM","F","20172018","CAR",15,17.3,10.4,3.47,6.94,8.15,3.02,5.13,58.96,17.34,41.62,76.3,20.81,55.49,83.24,27.75,55.49,17.65,0.145
"ELIAS.PETTERSSON","F","20182019","VAN",18,23.92,5.02,2.51,2.51,4.26,2.66,1.61,42.64,17.56,25.08,55.18,32.61,22.58,70.23,37.63,32.61,11.76,0.0815
"ERIC.STAAL","F","20162017","MIN",12,12.63,0,0,0,5.42,1.85,3.56,47.51,33.25,14.25,66.51,38,28.5,71.26,47.51,23.75,0,0.0488
"ERIC.STAAL","F","20172018","MIN",15,18.03,3.33,9.98,-6.66,4.76,5.79,-1.03,46.59,46.59,0,49.92,56.57,-6.66,69.88,59.9,9.98,7.14,0.1024
"ERIC.STAAL","F","20182019","MIN",11,11.2,0,5.36,-5.36,3.75,3.38,0.37,16.07,21.43,-5.36,42.86,42.86,0,48.21,48.21,0,0,0.0788
"ERIK.GUSTAFSSON","D","20182019","CHI",18,25.63,7.02,9.36,-2.34,5.31,9.13,-3.82,32.77,42.14,-9.36,46.82,44.48,2.34,56.18,58.53,-2.34,21.43,0.2053
"ERIK.HAULA","F","20162017","MIN",9,8.87,6.76,6.76,0,4.13,2.57,1.56,33.82,27.06,6.76,60.88,33.82,27.06,67.64,40.59,27.06,20,0.076
"ERIK.HAULA","F","20172018","VGK",12,13.67,0,0,0,7.29,8.08,-0.79,61.45,52.67,8.78,83.39,61.45,21.95,92.17,65.84,26.34,0,0.1314
"ERIK.JOHNSON","D","20162017","COL",7,7.45,24.16,0,24.16,8.86,2.26,6.6,72.48,48.32,24.16,96.64,56.38,40.27,104.7,64.43,40.27,33.33,0.04
"ERIK.JOHNSON","D","20172018","COL",9,13.62,8.81,4.41,4.41,5.77,3.39,2.38,44.05,39.65,4.41,52.86,48.46,4.41,61.67,57.27,4.41,20,0.07
"ERIK.JOHNSON","D","20182019","COL",11,13.98,0,12.88,-12.88,5.36,4.59,0.77,47.21,47.21,0,55.79,55.79,0,68.67,60.09,8.58,0,0.0823
"ERIK.KARLSSON","D","20162017","OTT",19,34.13,5.27,8.79,-3.52,3.8,4.69,-0.9,36.92,36.92,0,52.74,50.98,1.76,58.01,61.53,-3.52,14.29,0.0921
"ERIK.KARLSSON","D","20172018","OTT",15,24.97,12.01,4.81,7.21,4.21,4.57,-0.36,33.64,38.45,-4.81,50.46,43.25,7.21,57.67,50.46,7.21,35.71,0.1056
"ERIK.KARLSSON","D","20182019","S.J",8,10.13,11.85,11.85,0,5.8,5.09,0.71,47.38,47.38,0,53.31,53.31,0,65.15,59.23,5.92,25,0.0956
"ESA.LINDELL","D","20162017","DAL",9,6.65,9.02,18.05,-9.02,4.06,10.2,-6.14,72.18,45.11,27.07,72.18,81.2,-9.02,72.18,90.23,-18.05,12.5,0.1256
"ESA.LINDELL","D","20172018","DAL",12,11.77,0,5.1,-5.1,4.03,5.45,-1.43,45.88,40.78,5.1,61.17,50.98,10.2,76.47,71.37,5.1,0,0.107
"ESA.LINDELL","D","20182019","DAL",9,7.7,7.79,7.79,0,7.17,2.88,4.29,62.34,15.58,46.75,85.71,23.38,62.34,101.3,23.38,77.92,12.5,0.1233
"EVANDER.KANE","F","20162017","BUF",16,19.57,6.13,6.13,0,4.54,8.03,-3.5,33.73,49.05,-15.33,49.05,61.32,-12.26,58.25,64.38,-6.13,18.18,0.131
"EVANDER.KANE","F","20172018","BUF",14,18.47,6.5,6.5,0,6.4,3.35,3.05,48.73,29.24,19.49,64.97,35.73,29.24,71.47,51.98,19.49,13.33,0.0936
"EVANDER.KANE","F","20182019","S.J",9,8.43,0,28.47,-28.47,5.34,10.32,-4.98,35.59,78.29,-42.7,49.82,85.41,-35.59,49.82,106.76,-56.94,0,0.1208
"EVAN.RODRIGUES","F","20172018","BUF",7,5.6,0,10.71,-10.71,2.25,12,-9.75,21.43,75,-53.57,21.43,85.71,-64.29,42.86,85.71,-42.86,0,0.14
"EVAN.RODRIGUES","F","20182019","BUF",10,11.52,5.21,5.21,0,3.39,5.31,-1.93,31.25,26.04,5.21,36.46,41.67,-5.21,41.67,67.71,-26.04,16.67,0.1275
"EVGENI.MALKIN","F","20162017","PIT",14,14.7,12.24,8.16,4.08,5.59,7.39,-1.8,32.65,69.39,-36.73,44.9,73.47,-28.57,57.14,93.88,-36.73,37.5,0.1006
"EVGENI.MALKIN","F","20172018","PIT",17,17.12,21.03,3.5,17.52,9.11,6.2,2.91,42.06,56.07,-14.02,70.09,73.6,-3.5,77.1,77.1,0,50,0.0843
"EVGENI.MALKIN","F","20182019","PIT",12,14.15,0,21.2,-21.2,6.45,6.15,0.3,55.12,63.6,-8.48,63.6,72.08,-8.48,72.08,76.33,-4.24,0,0.0853
